timestamp_,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
0.000000,0.025992,0.034830,0.219874,0.761771,0.043559,0.840907,0.060119,-0.059237
0.000039,0.010728,0.037347,0.239869,0.751595,1.040368,0.854379,0.152044,0.070674
0.000078,0.020694,0.032339,0.228796,0.767620,1.034137,0.919259,0.182523,-0.014615
0.000117,0.012473,0.043995,0.216257,0.751816,0.113561,0.821532,0.127132,0.270198
0.000156,0.009932,0.051251,0.234241,0.759420,-0.741651,0.857581,0.085584,0.570829
0.000195,0.015909,0.042363,0.254878,0.760935,-0.833619,0.811743,-0.016361,0.050012
0.000234,0.020362,0.043532,0.225107,0.765806,0.004355,0.865695,-0.076645,-0.001650
0.000273,0.031927,0.040003,0.236035,0.762648,0.774644,0.859926,-0.022903,0.363298
0.000313,0.039329,0.035120,0.209026,0.770222,0.965478,0.846968,0.035999,0.131739
0.000352,0.010262,0.053319,0.233748,0.769784,0.215153,0.858922,0.085859,0.200997
0.000391,0.030776,0.051071,0.223703,0.801107,-0.572215,0.841164,0.161668,-0.202937
0.000430,0.020815,0.046472,0.242532,0.773488,-0.703976,0.844867,0.140731,-0.107381
0.000469,0.041300,0.061416,0.267273,0.773596,-0.048327,0.844970,0.095381,0.201703
0.000508,0.044275,0.044151,0.250565,0.770272,0.629415,0.896990,-0.013050,-0.318890
0.000547,0.015513,0.036290,0.241459,0.800979,0.797636,0.868549,-0.057742,-0.733906
0.000586,0.037567,0.032479,0.263382,0.795386,0.227384,0.906289,-0.050582,0.033181
0.000625,0.025972,0.036029,0.255323,0.809035,-0.414520,0.898374,-0.008546,0.358478
0.000664,0.020819,0.038602,0.255109,0.808664,-0.571157,0.851877,0.032623,0.196010
0.000703,0.028581,0.043086,0.261530,0.786711,-0.128907,0.862625,0.118300,0.419541
0.000742,0.018388,0.034886,0.261873,0.792765,0.486233,0.934505,0.107877,-0.278277
0.000781,0.034065,0.047701,0.244186,0.791746,0.654457,0.918819,0.033576,0.257517
0.000820,0.017120,0.028103,0.246060,0.823964,0.270162,0.842250,-0.011070,0.107771
0.000859,0.013241,0.047175,0.272445,0.806721,-0.309147,0.865844,-0.031550,0.062082
0.000898,0.032188,0.047910,0.245108,0.825522,-0.486669,0.846014,0.024683,0.297246
0.000937,0.037445,0.032614,0.246901,0.797076,-0.121514,0.856155,-0.003109,-0.090462
0.000977,0.032505,0.032097,0.260989,0.785891,0.394901,0.904068,0.022581,-0.365139
0.001016,0.026644,0.069426,0.279041,0.840128,0.535743,0.864220,0.093091,0.181797
